Plate	Repeat	Well	Type	Time	Absorbance @ 600 (A)	Time	GFP (Counts)	Time	mCherry (Counts)
1	1	G03	Bl	00:01:19.62	0.035	00:02:16.04	432	00:03:13.24	8621
1	2	A01	M	00:31:55.86	0.041	00:32:49.36	466	00:33:46.56	8345
1	2	A02	M	00:31:56.18	0.038	00:32:49.72	528	00:33:46.92	8962
1	2	A03	M	00:31:56.50	0.038	00:32:50.08	502	00:33:47.28	8221
1	2	A04	M	00:31:56.82	0.043	00:32:50.44	430	00:33:47.64	7600
1	2	A05	M	00:31:57.14	0.040	00:32:50.80	476	00:33:48.00	8449
1	2	A06	M	00:31:57.46	0.038	00:32:51.16	532	00:33:48.36	8833
1	2	A07	M	00:31:57.78	0.040	00:32:51.52	592	00:33:48.73	8181
1	2	A08	M	00:31:58.10	0.042	00:32:51.88	650	00:33:49.09	8207
1	2	A09	M	00:31:58.42	0.039	00:32:52.24	546	00:33:49.45	8197
1	2	A10	M	00:31:58.74	0.040	00:32:52.60	516	00:33:49.81	8137
1	2	A11	M	00:31:59.06	0.040	00:32:52.96	536	00:33:50.17	9002
1	2	A12	M	00:31:59.38	0.039	00:32:53.33	566	00:33:50.53	8309
1	2	B01	M	00:32:02.14	0.041	00:32:56.13	478	00:33:53.34	8611
1	2	B02	M	00:32:02.46	0.038	00:32:56.49	490	00:33:53.70	8988
1	2	B03	M	00:32:02.78	0.039	00:32:56.85	492	00:33:54.06	8307
1	2	B04	M	00:32:03.10	0.041	00:32:57.21	500	00:33:54.42	7428
1	2	B05	M	00:32:03.42	0.041	00:32:57.57	558	00:33:54.78	8221
1	2	B06	M	00:32:03.74	0.040	00:32:57.93	496	00:33:55.14	8195
1	2	B07	M	00:32:04.06	0.039	00:32:58.30	494	00:33:55.50	8257
1	2	B08	M	00:32:04.38	0.039	00:32:58.66	490	00:33:55.86	7899
1	2	B09	M	00:32:04.70	0.038	00:32:59.02	514	00:33:56.22	8735
1	2	B10	M	00:32:05.02	0.044	00:32:59.38	506	00:33:56.58	7534
1	2	B11	M	00:32:05.34	0.039	00:32:59.74	486	00:33:56.95	7993
1	2	B12	M	00:32:05.66	0.041	00:33:00.10	520	00:33:57.31	7857
1	2	C01	M	00:32:08.42	0.045	00:33:02.91	514	00:34:00.11	7612
1	2	C02	M	00:32:08.74	0.040	00:33:03.27	504	00:34:00.47	8885
1	2	C03	M	00:32:09.06	0.042	00:33:03.63	502	00:34:00.83	8241
1	2	C04	M	00:32:09.38	0.041	00:33:03.99	508	00:34:01.19	8105
1	2	C05	M	00:32:09.70	0.040	00:33:04.35	506	00:34:01.55	8247
1	2	C06	M	00:32:10.02	0.040	00:33:04.71	490	00:34:01.92	8351
1	2	C07	M	00:32:10.34	0.044	00:33:05.07	442	00:34:02.28	7917
1	2	C08	M	00:32:10.66	0.039	00:33:05.43	488	00:34:02.64	8665
1	2	C09	M	00:32:10.98	0.038	00:33:05.79	504	00:34:03.00	8693
1	2	C10	M	00:32:11.30	0.041	00:33:06.15	548	00:34:03.36	8375
1	2	C11	M	00:32:11.62	0.037	00:33:06.51	500	00:34:03.72	9346
1	2	C12	M	00:32:11.94	0.037	00:33:06.87	564	00:34:04.09	9534
1	2	D01	M	00:32:14.70	0.027	00:33:09.68	484	00:34:06.89	7997
1	2	D02	M	00:32:15.02	0.034	00:33:10.04	422	00:34:07.25	8835
1	2	D03	M	00:32:15.34	0.033	00:33:10.40	474	00:34:07.61	8575
1	2	D04	M	00:32:15.66	0.037	00:33:10.76	480	00:34:07.97	8543
1	2	D05	M	00:32:15.98	0.035	00:33:11.12	488	00:34:08.33	8099
1	2	D06	M	00:32:16.30	0.034	00:33:11.48	450	00:34:08.70	8962
1	2	D07	M	00:32:16.62	0.036	00:33:11.84	550	00:34:09.06	9246
1	2	D08	M	00:32:16.94	0.034	00:33:12.20	574	00:34:09.42	9110
1	2	D09	M	00:32:17.26	0.034	00:33:12.56	602	00:34:09.78	9794
1	2	D10	M	00:32:17.58	0.037	00:33:12.93	616	00:34:10.14	8679
1	2	D11	M	00:32:17.90	0.036	00:33:13.29	738	00:34:10.50	8557
1	2	D12	M	00:32:18.22	0.034	00:33:13.65	622	00:34:10.86	9442
1	2	E01	M	00:32:20.98	0.036	00:33:16.45	488	00:34:13.67	8319
1	2	E02	M	00:32:21.30	0.037	00:33:16.81	666	00:34:14.03	9012
1	2	E03	M	00:32:21.62	0.039	00:33:17.17	494	00:34:14.39	8523
1	2	E04	M	00:32:21.94	0.038	00:33:17.53	448	00:34:14.75	8043
1	2	E05	M	00:32:22.26	0.035	00:33:17.89	470	00:34:15.11	8939
1	2	E06	M	00:32:22.58	0.036	00:33:18.25	476	00:34:15.47	8887
1	2	E07	M	00:32:22.90	0.034	00:33:18.61	512	00:34:15.83	8107
1	2	E08	M	00:32:23.22	0.034	00:33:18.98	492	00:34:16.19	9280
1	2	E09	M	00:32:23.54	0.035	00:33:19.34	540	00:34:16.55	9298
1	2	E10	M	00:32:23.86	0.034	00:33:19.70	490	00:34:16.91	9202
1	2	E11	M	00:32:24.18	0.036	00:33:20.06	480	00:34:17.28	9000
1	2	E12	M	00:32:24.50	0.036	00:33:20.42	598	00:34:17.64	8757
1	2	F01	M	00:32:27.26	0.037	00:33:23.23	516	00:34:20.44	9506
1	2	F02	M	00:32:27.58	0.035	00:33:23.59	436	00:34:20.80	7911
1	2	F03	M	00:32:27.90	0.036	00:33:23.95	472	00:34:21.16	8395
1	2	F04	M	00:32:28.22	0.039	00:33:24.31	838	00:34:21.52	7757
1	2	F05	M	00:32:28.54	0.035	00:33:24.67	464	00:34:21.88	8365
1	2	F06	M	00:32:28.86	0.034	00:33:25.03	500	00:34:22.24	8681
1	2	F07	M	00:32:29.18	0.035	00:33:25.39	480	00:34:22.61	8715
1	2	F08	M	00:32:29.50	0.038	00:33:25.75	462	00:34:22.97	8825
1	2	F09	M	00:32:29.82	0.035	00:33:26.11	484	00:34:23.33	9342
1	2	F10	M	00:32:30.14	0.046	00:33:26.47	828	00:34:23.69	9424
1	2	F11	M	00:32:30.46	0.035	00:33:26.83	540	00:34:24.05	9348
1	2	F12	M	00:32:30.78	0.037	00:33:27.19	524	00:34:24.41	9586
1	2	G01	Bl	00:32:33.54	0.035	00:33:30.00	396	00:34:27.22	8457
1	2	G02	Bl	00:32:33.86	0.035	00:33:30.36	392	00:34:27.58	8489
1	2	G03	Bl	00:32:34.18	0.035	00:33:30.72	420	00:34:27.94	8491
